600###Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#19/11/1998
601#0##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#01/11/2016
601#1##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#01/11/2016
601#2##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#01/11/2016
601#3##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#01/11/2016
601#4##Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#21/09/2015
601#5# #Subasignado 0#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 1#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 2#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 3#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 4#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 5#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 6#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 7#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 8#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5# #Subasignado 9#XFERA MÓVILES, S.A. UNIPERSONAL#02/02/2021
601#5##Asignado#VODAFONE ENABLER ESPAÑA, S.L.#25/09/2012
601#6# #Subasignado 0#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 1#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 2#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 3#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 4#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 5#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 6#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 7#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 8#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
601#6# #Subasignado 9#ONMOVIL DIVISIÓN TELEFONIA MOVIL TYSONCARRASCO INVERSIONES, S.L.#03/06/2020
